keys,it
"Pads text out on the RIGHT to a fixed width, so every row starts on the same edge and reads as a column. Text longer than the width is left alone (it is never cut - shorten it first). Give the Label a MONOSPACE theme font or the column will still drift.","Riempie il testo a DESTRA fino a una larghezza fissa, così ogni riga inizia sullo stesso bordo e si legge come una colonna. Il testo più lungo della larghezza viene lasciato stare (non viene mai tagliato - accorcialo prima). Dai al Label un font MONOSPAZIATO nel tema, altrimenti la colonna continuerà a scivolare."
[b]{text}[/b] aligned left in [b]{width}[/b],[b]{text}[/b] allineato a sinistra in [b]{width}[/b]
The text to pad out.,Il testo da riempire.
Width,Larghezza
Column width in characters. Shorter text is padded; longer text is left as it is.,"Larghezza della colonna in caratteri. Il testo più corto viene riempito, quello più lungo resta com'è."
Fill with,Riempi con
"What fills the gap: a space, or ""."" for a dotted leader. One character.","Cosa riempie lo spazio: uno spazio, oppure ""."" per una guida puntinata. Un solo carattere."
Align Right,Allinea a destra
"Pads text out on the LEFT to a fixed width, so numbers END on the same edge and read as a column of figures. Text longer than the width is left alone. Give the Label a MONOSPACE theme font or the column will still drift.","Riempie il testo a SINISTRA fino a una larghezza fissa, così i numeri FINISCONO sullo stesso bordo e si leggono come una colonna di cifre. Il testo più lungo della larghezza viene lasciato stare. Dai al Label un font MONOSPAZIATO nel tema, altrimenti la colonna continuerà a scivolare."
[b]{text}[/b] aligned right in [b]{width}[/b],[b]{text}[/b] allineato a destra in [b]{width}[/b]
The text to pad out - str() a number first.,Il testo da riempire - passa prima un numero per str().
Center In Width,Centra nella larghezza
"Pads text on BOTH sides to a fixed width, so a heading sits in the middle of a column. An odd leftover space goes on the right. Text longer than the width is left alone. Give the Label a MONOSPACE theme font or the centering will still drift.","Riempie il testo su ENTRAMBI i lati fino a una larghezza fissa, così un titolo sta in mezzo a una colonna. Lo spazio avanzato dispari va a destra. Il testo più lungo della larghezza viene lasciato stare. Dai al Label un font MONOSPAZIATO nel tema, altrimenti la centratura continuerà a scivolare."
[b]{text}[/b] centered in [b]{width}[/b],[b]{text}[/b] centrato in [b]{width}[/b]
The text to center.,Il testo da centrare.
As Title Text,Come testo del titolo
"Turns a machine id into a readable name: ""fire_sword"" reads ""Fire Sword"", ""maxHealth"" reads ""Max Health"". Use it wherever a key has to be shown to a player, so ids and labels never drift apart in two places.","Trasforma un id da macchina in un nome leggibile: ""fire_sword"" si legge ""Fire Sword"", ""maxHealth"" si legge ""Max Health"". Usalo ovunque una chiave debba essere mostrata a un giocatore, così id ed etichette non divergono mai in due posti."
[b]{text}[/b] as title text,[b]{text}[/b] come testo del titolo
"An id or key, e.g. fire_sword or maxHealth.","Un id o una chiave, ad esempio fire_sword o maxHealth."
As Sentence Text,Come testo di frase
"Raises the FIRST letter only and leaves the rest of the text exactly as it is, so ""NPC"" and ""HP"" keep their capitals. Empty text stays empty.","Alza SOLO la prima lettera e lascia il resto del testo esattamente com'è, così ""NPC"" e ""HP"" mantengono le maiuscole. Il testo vuoto resta vuoto."
[b]{text}[/b] as sentence text,[b]{text}[/b] come testo di frase
A sentence that needs its first letter raised.,Una frase la cui prima lettera va messa in maiuscolo.
Translated Text From Pattern,Testo tradotto da un modello
"Looks the whole sentence up in the current language FIRST, then fills its {slots}. The pattern you type here - slots and all - is the translation key, so it is what goes in the catalog. Filling the slots first (Translate around Text From Pattern) produces a string no catalog can contain, and the text then never translates.","PRIMA cerca l'intera frase nella lingua corrente, poi riempie i suoi {slots}. Il modello che scrivi qui - segnaposti compresi - È la chiave di traduzione, quindi è ciò che va nel catalogo. Riempire prima i segnaposti (Traduci attorno a Testo da modello) produce una stringa che nessun catalogo può contenere, e il testo non si traduce mai più."
Translation,Traduzione
translated text from [b]{pattern}[/b],testo tradotto da [b]{pattern}[/b]
Pattern,Modello
"The source sentence, with {name} slots. This exact string, slots and all, is the translation key that goes in the catalog.","La frase sorgente, con segnaposti {name}. Questa stringa esatta, segnaposti compresi, è la chiave di traduzione che va nel catalogo."
Values,Valori
"What fills the slots: {""name"": value, ...} - e.g. {""coins"": coins}.","Cosa riempie i segnaposti: {""name"": value, ...} - ad esempio {""coins"": coins}."
Set Text (translated pattern),Imposta il testo (modello tradotto)
Sets this Label's text from a pattern that is translated FIRST and filled second. The pattern - slots and all - is the translation key. Re-run it under On Language Changed so the label follows a live language switch.,Imposta il testo di questo Label a partire da un modello che viene PRIMA tradotto e poi riempito. Il modello - segnaposti compresi - è la chiave di traduzione. Rieseguilo sotto Al cambio di lingua così l'etichetta segue un cambio di lingua a caldo.
set text to translated [b]{pattern}[/b],imposta il testo al [b]{pattern}[/b] tradotto
Text Is A Number,Il testo è un numero
"True when this text would convert to a number cleanly. Ask it BEFORE converting, so a typo can never arrive as a silent 0 and the sheet bet nothing. Spaces around the number are ignored; empty text is not a number.","Vero quando questo testo si convertirebbe in numero senza problemi. Chiedilo PRIMA di convertire, così un errore di battitura non arriva mai come uno 0 silenzioso e il foglio non punta il nulla. Gli spazi attorno al numero vengono ignorati; il testo vuoto non è un numero."
Compare: Text,Confronta: testo
{text} is a number,{text} è un numero
"Text to test - a typed-in field, a value read back out of a save, a CSV or JSON cell.","Testo da verificare - un campo digitato, un valore riletto da un salvataggio, una cella CSV o JSON."
Text Is A Whole Number,Il testo è un numero intero
"True when this text would convert to a WHOLE number cleanly - a count, a level, a slot index. ""12"" passes and ""12.5"" does not, which is the only difference from Text Is A Number.","Vero quando questo testo si convertirebbe senza problemi in un numero INTERO - un conteggio, un livello, un indice di slot. ""12"" passa e ""12.5"" no, che è l'unica differenza rispetto a Il testo è un numero."
{text} is a whole number,{text} è un numero intero
"Text to test - a count, a level number, a save slot, a seed.","Testo da verificare - un conteggio, un numero di livello, uno slot di salvataggio, un seme."
Contains Any Of,Contiene uno tra
"True when the text contains at least ONE of the listed pieces - a chat filter, a keyword-triggered line, a tag-gated card. Unlike Text Is One Of, which needs the WHOLE text to equal an entry, this looks INSIDE the text. Matching is case-sensitive, and an empty list is never a match.","Vero quando il testo contiene almeno UNO dei pezzi elencati - un filtro di chat, una battuta attivata da parola chiave, una carta sbloccata da un'etichetta. A differenza di Il testo è uno tra, che richiede che TUTTO il testo sia uguale a una voce, questo guarda DENTRO il testo. Le maiuscole contano, e un elenco vuoto non corrisponde mai."
{text} contains any of {options},{text} contiene uno tra {options}
Text to search.,Testo in cui cercare.
Any Of,Uno tra
"List of pieces to look for - written here, or a sheet variable someone can edit without touching this row.","Elenco dei pezzi da cercare - scritto qui, oppure una variabile del foglio che qualcuno può modificare senza toccare questa riga."
Contains All Of,Contiene tutti tra
"True only when the text contains EVERY listed piece - a combo whose rule text names two keywords, a search box where all the words must match. An empty list counts as true, because nothing is missing.","Vero solo quando il testo contiene OGNI pezzo elencato - una combo il cui testo di regola nomina due parole chiave, una casella di ricerca in cui tutte le parole devono corrispondere. Un elenco vuoto conta come vero, perché non manca nulla."
{text} contains all of {options},{text} contiene tutti tra {options}
All Of,Tutti tra
List of pieces that must ALL appear.,Elenco dei pezzi che devono comparire TUTTI.
Contains None Of,Non contiene nessuno tra
"True when the text contains none of the listed pieces - the accept-this-name branch, written as the thing you want to act on instead of an Else. An empty list always passes.","Vero quando il testo non contiene nessuno dei pezzi elencati - il ramo 'accetta questo nome', scritto come la cosa su cui vuoi agire invece che come un Altrimenti. Un elenco vuoto passa sempre."
{text} contains none of {options},{text} non contiene nessuno tra {options}
None Of,Nessuno tra
List of pieces that must NOT appear.,Elenco dei pezzi che NON devono comparire.
Number From Text,Numero da testo
"Reads a number out of text, or hands back the fallback YOU chose - never a surprise zero. Pair it with Text Is A Number when the two cases need different rows. The text is read twice in the emitted line, so keep it a plain read and not something that changes the game.","Legge un numero da un testo, oppure restituisce il valore di riserva che TU hai scelto - mai uno zero a sorpresa. Abbinalo a Il testo è un numero quando i due casi richiedono righe diverse. Il testo viene letto due volte nella riga generata, quindi tienilo su una semplice lettura e non su qualcosa che cambia il gioco."
Variables: String,Variabili: stringa
number from {text} (or {fallback}),numero da {text} (oppure {fallback})
Text to read a number out of.,Testo da cui leggere un numero.
What you get back when the text is not a number.,Cosa ricevi quando il testo non è un numero.
Whole Number From Text,Numero intero da testo
